"[1, 1, 0, 2, 1, 1, 2, 1, 1]","(0.38572217234042566, 470)"
"[1, 1, 0, 2, 1, 0, 2, 1, 1]","(0.4822878000000005, 150)"
"[2, 1, 0, 2, 1, 0, 2, 1, 1]","(1.0, 172)"
"[1, 1, 1, 1, 1, 1, 2, 1, 1]","(0.2633204857485449, 122252)"
"[1, 1, 1, 1, 1, 1, 2, 1, 0]","(0.44303914007591655, 2635)"
"[1, 1, 1, 1, 1, 2, 2, 1, 0]","(0.35358778124999873, 432)"
"[1, 1, 1, 0, 1, 2, 2, 1, 0]","(0.3828777844311385, 167)"
"[1, 1, 1, 0, 1, 2, 2, 2, 0]","(0.32805000000000006, 80)"
"[1, 1, 1, 0, 0, 2, 2, 2, 0]","(0.3044647058823526, 170)"
"[1, 2, 1, 0, 0, 2, 2, 2, 0]","(0.0894767441860464, 172)"
"[1, 2, 0, 0, 0, 2, 2, 2, 0]","(0.45000000000000184, 237)"
"[2, 2, 0, 0, 0, 2, 2, 2, 0]","(0.5, 75981)"
"[1, 1, 1, 1, 1, 1, 1, 1, 2]","(0.2635730343951288, 122340)"
"[1, 1, 1, 1, 0, 1, 1, 1, 2]","(0.264002927785967, 103814)"
"[2, 1, 1, 1, 0, 1, 1, 1, 2]","(0.2870186013628724, 2935)"
"[2, 1, 1, 1, 0, 0, 1, 1, 2]","(0.30728454545454553, 231)"
"[2, 1, 1, 2, 0, 0, 1, 1, 2]","(0.4430002392344509, 209)"
"[2, 1, 1, 2, 0, 0, 1, 0, 2]","(0.7447118644067792, 59)"
"[2, 1, 1, 2, 0, 0, 2, 0, 2]","(1.0, 116)"
"[1, 1, 0, 1, 1, 1, 1, 1, 2]","(0.4366089498492994, 2654)"
"[1, 1, 0, 1, 1, 1, 2, 1, 2]","(0.5883076285714128, 2660)"
"[1, 1, 0, 0, 1, 1, 2, 1, 2]","(0.7018280104712058, 191)"
"[1, 1, 0, 0, 2, 1, 2, 1, 2]","(0.7604221929361833, 1897)"
"[1, 1, 0, 0, 2, 1, 2, 0, 2]","(0.83883333333333, 432)"
"[2, 1, 0, 0, 2, 1, 2, 0, 2]","(1.0, 1035)"
"[0, 1, 1, 1, 1, 1, 2, 1, 1]","(0.43623350400678607, 2658)"
"[0, 1, 2, 1, 1, 1, 2, 1, 1]","(0.45367016447368536, 456)"
"[0, 1, 2, 1, 1, 0, 2, 1, 1]","(0.5657199280575539, 139)"
"[0, 1, 2, 1, 2, 0, 2, 1, 1]","(1.0, 162)"
"[0, 1, 1, 2, 1, 1, 1, 1, 1]","(0.3098319214045013, 2670)"
"[0, 1, 1, 2, 2, 1, 1, 1, 1]","(0.38786862759924423, 1587)"
"[0, 1, 0, 2, 2, 1, 1, 1, 1]","(0.5683502694610786, 167)"
"[0, 1, 0, 2, 2, 1, 2, 1, 1]","(0.17886844660194173, 103)"
"[0, 1, 0, 2, 2, 1, 2, 1, 0]","(0.7752878535773641, 601)"
"[0, 1, 0, 2, 2, 1, 2, 2, 0]","(0.0, 131)"
"[0, 1, 0, 2, 2, 0, 2, 2, 0]","(0.0, 149)"
"[1, 1, 1, 1, 0, 2, 1, 1, 1]","(0.2600949749763029, 103485)"
"[1, 1, 1, 1, 0, 2, 1, 1, 2]","(0.2932470948362445, 92670)"
"[1, 1, 1, 1, 0, 2, 1, 0, 2]","(0.7824395086505156, 1445)"
"[1, 1, 1, 2, 0, 2, 1, 0, 2]","(0.1614976744186046, 129)"
"[1, 0, 1, 2, 0, 2, 1, 0, 2]","(0.0, 109)"
"[2, 1, 2, 1, 1, 0, 1, 1, 1]","(0.5952645564263392, 1595)"
"[2, 1, 2, 1, 1, 0, 1, 1, 0]","(0.7248618421052646, 171)"
"[2, 1, 2, 1, 1, 0, 1, 2, 0]","(0.5960250000000004, 102)"
"[2, 1, 2, 1, 0, 0, 1, 2, 0]","(0.6664090909090903, 66)"
"[2, 1, 2, 1, 0, 0, 2, 2, 0]","(0.18977142857142856, 175)"
"[2, 0, 2, 1, 0, 0, 2, 2, 0]","(0.9000000000000036, 234)"
"[2, 0, 2, 2, 0, 0, 2, 2, 0]","(1.0, 1383)"
"[1, 1, 1, 1, 2, 1, 1, 1, 1]","(0.2836379648379473, 122175)"
"[0, 1, 1, 1, 2, 1, 1, 1, 1]","(0.35717786144183294, 2587)"
"[0, 1, 2, 1, 2, 1, 1, 1, 1]","(0.3950941895604336, 910)"
"[0, 1, 2, 1, 2, 1, 0, 1, 1]","(0.32398899456521496, 736)"
"[0, 1, 2, 1, 2, 1, 0, 1, 2]","(0.14845275, 200)"
"[0, 1, 2, 1, 2, 1, 0, 0, 2]","(0.826221246973376, 1652)"
"[0, 2, 2, 1, 2, 1, 0, 0, 2]","(0.09818181818181822, 231)"
"[0, 2, 2, 1, 2, 0, 0, 0, 2]","(0.44999999999999996, 337)"
"[0, 2, 2, 2, 2, 0, 0, 0, 2]","(0.5, 14448)"
"[1, 1, 1, 0, 2, 1, 1, 1, 1]","(0.4998304910143515, 2721)"
"[2, 1, 1, 0, 2, 1, 1, 1, 1]","(0.5904394626915465, 1501)"
"[2, 1, 0, 0, 2, 1, 1, 1, 1]","(0.6402907894736855, 171)"
"[2, 1, 0, 0, 2, 1, 1, 1, 2]","(1.0, 117)"
"[1, 1, 1, 1, 1, 0, 1, 1, 2]","(0.4616143018783034, 2662)"
